,year,teams,venue,total_matches,winner,margin,player_of_series
0,2021,India vs England,Home,3,India,2-1,Jhon Baristow
1,2021,India vs Sri Lanka,Away,3,India,2-1,Surya Kumar 
2,2022,India vs West Indies,Home,3,India,3-0,Prasidh Krishna
3,2022,India vs South Africa,Away,3,South Africa,3-0,QD Kock
4,2022,India vs England,Away,3,India,2-1,Hardik
5,2022,India vs New Zealand,Away,3,New Zealand,1-0,Tom Latham
6,2022,India vs Zimbabwe,Away,3,India,3-0,Shubman Gill
7,2022,India vs Bangladesh,Away,3,Bangladesh,2-1,Mehidy Hasan
8,2023,India vs Sri Lanka,Home,3,India,3-0,Virat Kohli
9,2023,India vs New Zealand,Home,3,India,3-0,Shubman Gill
10,2023,India vs Australia,Home,3,Australia,2-1,Mitchell Marsh
11,2023,India vs South Africa,Home,3,India,2-1,Arsdeep
12,2024,India vs Sri Lanka,Away,3,Draw,2-0,Dunith Wellalege
13,2025,India vs Australia,Away,3,Australia,2-1,Rohit Sharma
14,2025,India vs South Africa,Home,3,India,2-1,Virat Kohli
